State,Graduation,debt,Avedebt,Rank
AL,0.37,0.53,26450,12
AK,0.4,0.49,28782,13
AZ,0.35,0.54,20299,45
AR,0.38,0.55,23327,31
CA,0.51,0.52,20270,49
CO,0.49,0.52,24540,36
CT,0.55,0.61,27816,6
DE,0.51,0.56,33649,2
DC,0.72,0.56,22106,47
FL,0.54,0.51,22873,40
GA,0.43,0.59,23115,37
HI,0.36,N/A,N/A,43
ID,0.44,0.65,26751,23
IL,0.5,0.64,28034,15
IN,0.48,0.64,27886,16
IA,0.52,0.71,29456,9
KS,0.45,0.59,23677,27
KY,0.42,0.62,23785,34
LA,0.42,0.48,22789,41
ME,0.51,0.67,29290,7
MD,0.48,0.58,25951,26
MA,0.58,0.66,28460,14
MI,0.47,0.62,28742,8
MN,0.49,0.7,31497,5
MS,0.36,0.57,27322,19
MO,0.47,0.63,23030,33
MT,0.47,0.64,27475,20
NE,0.5,0.63,26473,24
NV,0.45,0.41,20568,48
NH,0.58,0.74,32698,1
NJ,0.46,0.65,29287,18
NM,0.34,0.61,17994,50
NY,0.49,0.6,25686,25
NC,0.47,0.59,23891,39
ND,0.49,N/A,N/A,*
OH,0.51,0.69,29037,11
OK,0.45,0.53,23636,46
OR,0.45,0.6,26639,30
PA,0.58,0.71,31677,3
RI,0.58,0.69,30483,4
SC,0.41,0.55,27416,10
SD,0.49,0.78,25121,29
TN,0.47,0.58,21775,35
TX,0.44,0.56,23933,32
UT,0.47,0.5,21520,44
VT,0.62,0.63,28299,22
VA,0.51,0.6,25017,28
WA,0.55,0.56,23293,38
WV,0.44,0.54,26227,21
WI,0.52,0.68,28041,17
WY,0.5,0.47,21241,42
