"Table generated on 03/15/2015"

Name,Year,"Bachelor's degree recipients","Graduation rate (within 150% of normal time)","Percent of graduates with debt","Average debt of graduates","Average amount of student loans received by full-time freshmen who borrowed"
"Alabama - Total",2011-12,28277,0.37,0.53,26450,6042
"Alaska - Total",2011-12,1750,0.4,0.49,28782,6385
"Arizona - Total",2011-12,64707,0.35,0.54,20299,6686
"Arkansas - Total",2011-12,14190,0.38,0.55,23327,5619
"California - Total",2011-12,172556,0.51,0.52,20270,5935
"Colorado - Total",2011-12,31791,0.49,0.52,24540,6649
"Connecticut - Total",2011-12,20945,0.55,0.61,27816,6665
"Delaware - Total",2011-12,5885,0.51,0.56,33649,6199
"District of Columbia - Total",2011-12,9212,0.72,0.56,22106,6966
"Florida - Total",2011-12,91002,0.54,0.51,22873,6161
"Georgia - Total",2011-12,45936,0.43,0.59,23115,5787
"Hawaii - Total",2011-12,6016,0.36,N/A,N/A,5397
"Idaho - Total",2011-12,9814,0.44,0.65,26751,5733
"Illinois - Total",2011-12,72676,0.5,0.64,28034,6349
"Indiana - Total",2011-12,45534,0.48,0.64,27886,6677
"Iowa - Total",2011-12,40676,0.52,0.71,29456,6224
"Kansas - Total",2011-12,18999,0.45,0.59,23677,5615
"Kentucky - Total",2011-12,21592,0.42,0.62,23785,5729
"Louisiana - Total",2011-12,22076,0.42,0.48,22789,5591
"Maine - Total",2011-12,7596,0.51,0.67,29290,6889
"Maryland - Total",2011-12,31963,0.48,0.58,25951,6294
"Massachusetts - Total",2011-12,55593,0.58,0.66,28460,6740
"Michigan - Total",2011-12,57815,0.47,0.62,28742,6336
"Minnesota - Total",2011-12,35434,0.49,0.7,31497,7340
"Mississippi - Total",2011-12,13516,0.36,0.57,27322,5034
"Missouri - Total",2011-12,43697,0.47,0.63,23030,5812
"Montana - Total",2011-12,5384,0.47,0.64,27475,5948
"Nebraska - Total",2011-12,14255,0.5,0.63,26473,5482
"Nevada - Total",2011-12,7639,0.45,0.41,20568,6689
"New Hampshire - Total",2011-12,9285,0.58,0.74,32698,7506
"New Jersey - Total",2011-12,39793,0.46,0.65,29287,6771
"New Mexico - Total",2011-12,8259,0.34,0.61,17994,5728
"New York - Total",2011-12,130588,0.49,0.6,25686,5955
"North Carolina - Total",2011-12,50737,0.47,0.59,23891,6019
"North Dakota - Total",2011-12,5742,0.49,N/A,N/A,7086
"Ohio - Total",2011-12,66736,0.51,0.69,29037,6466
"Oklahoma - Total",2011-12,19846,0.45,0.53,23636,5813
"Oregon - Total",2011-12,21023,0.45,0.6,26639,6436
"Pennsylvania - Total",2011-12,90781,0.58,0.71,31677,7398
"Rhode Island - Total",2011-12,11013,0.58,0.69,30483,7045
"South Carolina - Total",2011-12,22987,0.41,0.55,27416,6600
"South Dakota - Total",2011-12,5392,0.49,0.78,25121,6657
"Tennessee - Total",2011-12,32309,0.47,0.58,21775,5615
"Texas - Total",2011-12,111368,0.44,0.56,23933,5976
"Utah - Total",2011-12,26554,0.47,0.5,21520,5553
"Vermont - Total",2011-12,6283,0.62,0.63,28299,7303
"Virginia - Total",2011-12,52998,0.51,0.6,25017,6481
"Washington - Total",2011-12,32376,0.55,0.56,23293,6115
"West Virginia - Total",2011-12,14056,0.44,0.54,26227,6145
"Wisconsin - Total",2011-12,36004,0.52,0.68,28041,6369
"Wyoming - Total",2011-12,2064,0.5,0.47,21241,7862

"Citation: The Institute for College Access & Success, College InSight, http://www.college-insight.org.",,
"Most college-level data are taken directly from U.S. Department of Education sources and the Common Data Set (CDS).",,
"  Derived variables and aggregate figures for states, sectors, and other groupings of colleges were calculated as described under ""About the Data.""",,
"  Student debt and undergraduate financial aid data are licensed from Peterson's Undergraduate Financial Aid",,
"  and Undergraduate Databases, (c) 2014 Peterson's, a Nelnet company, all rights reserved.",,
"  All data may be reproduced, with attribution, subject to restrictions under the Creative Commons license. ",,
